"","QE1-S1","QE1-S2","QE1-S3","QE1-S4","QE1-S5","QE5-M1","QE5-M2","QE5-M3","QE5-M4","QE5-M5","QE5-H1","QE5-H2","QE5-H3","QE5-H4","QE5-H5"
"107312613",18,11,7,13,16,11,10,20,13,8,25,15,21,10,17
"107316617",149,124,142,160,190.656,195.717,236,190,169,108,246,170.869,248,180,288
"107316654",2,0,0,4,0,0,0,3,0,0,1,1,1,4,7
"107316629",210.6250625,26.000000015625,52.874985163625,179.62515,239.7500625,43.99994960625,77.24997125,172.2500625,166.7500175,67.74999875,298.375,196.25005,148.25001625,202.750075,237.6249875
"107316620",733,558,456,479,536,586,719,663,557,440,821,673,648,761,1024
"107316601",73.6666666666667,60.9998666666667,45.6667666666667,55.6666366666667,61.7811764,61.0941,84,55.3334333333333,53.3333333333333,39.0001663333333,82.6667333333333,57.37719,73.6666666666667,76.6665666666667,73.3333333333333
"107316588",371.666626666667,221,225.666666666667,268,203.333333333333,249.666566666667,353,252.000333333333,353,155.666666666667,739,274.333333333333,292.333333333333,385.333333333333,353.666666666667
"107324283",167.956491304348,90.9565347826087,87.1739173913043,95.8260771778261,89.0869192845217,81.3912732217391,151.478295652174,111.391464347826,97.0000134782609,55.3478148103435,141.391189278922,118.60884826087,153.173969973913,130.913203915843,158.478323061478
"107323841",47,42,41,47,31,15,61,58,23,15,75,28,45,60,38
"107323826",52,39.5,27,28.5,40.5,26.5,47.5,24,50.5,31,62.00015,25.5,54,70.00005,60
"107323838",21.5,26.5,13.5,31.5,25,16.5,44,21.0000067645,43,18.5,62.4998,25.5,32.5,53,48
"107317861",4.999999575,0.75,0.5,2,1.74999992,1,8.75,2.0018725,6.25,7.5,127.49325,2,3.25,4.5,8.75
"107323836",448.000533333333,311.666883333333,242.499936666667,294.500278333333,403.66645,364.166816666667,493.50035,377.667216666667,404.1672,245.666533333333,353.166066666667,337.999716666667,439.999833333333,523.66695,625.500783333333
"107323829",3.33333333333333,2.66667,2.66666666666667,3.33333333333333,2.33333333333333,2.66666666666667,8.66666666666667,4.33333333333333,10.6666666666667,1.66666666666667,15,3.66666666666667,5.33333333333333,8,7.66666666666667
"107314004",376,234,159,346,221,312,353,537,401,310,330,290,262,351,322
"107310851",0.24999954125,4.0000070375,0.124999945,0.375000625,4.5,0.3749996,4.125000195,3.8750041,0.3750004125,12.62499875,43.617875,4.1249970875,0.5000004075,0.625,0.75000048625
"107310884",33.999925,30.4999775,25.2500125,34.5000675,32.24995,26.25,43.24993,28.249975,44.2501025,25.9999925,41.7500875,43.000025,35.000065,39.249895,41.5000675
"107310882",581,266,444,355,278,730,539,516,315,315,2459,449,711,484,657
"107310886",26.0000043675,6.25,25.7499975,15.49998,14.50000034,8.25,24.5000125,23.25,11,11.750025,33.499975,13.0000162325,33.000002325,44.75,50.250083775
"107307359",157,3,3,6,39,10,11,5,13,26,67,2,8,12,5
"107307358",64,51,38,48,74,74,75,51,62,66,129,49,82,59,72
"107306560",247,104,97,130,139,230,175,171,145,97,384,65,165,242,221
"107306562",1027.33426666667,711.001266666667,365.333333333333,716.001466666667,852.000733333333,580.000233333333,1220.99896666667,901.9999,1006.3344,301.666666666667,1156.66533333333,488.333333333333,1152.99893333333,643.6683,1409.99933333333
"107305782",349.99994,215.9998,146.999985,217.500195,225.99994,229.49992,381.49975,273.999775,277.50015,132,308.50015,192.000145,251.00009,249.99975,292.5
"107307488",310,216,291,212,326,341,412,325,305,174,244,302,255,313,422
"107307481",396,301,258,325,356,270,524,406,385,209,389,324,377,509,471
