"","QE1-S1","QE1-S2","QE1-S3","QE1-S4","QE1-S5","QE5-M1","QE5-M2","QE5-M3","QE5-M4","QE5-M5","QE5-H1","QE5-H2","QE5-H3","QE5-H4","QE5-H5"
"107317803",3.61209184151272,3.82966449096952,3.87900390596333,3.98423742847303,3.85730956758751,3.96937901362515,3.48438324134536,3.9698554441913,3.78005357134411,3.88092246457841,4.0630117137552,3.94135686994065,3.29598559936321,3.89630044044697,3.70778549041004
"107325851",1.94566643741947,2.66146544714775,3.26804844506338,3.28763463141297,1.90239745711605,1.98325105014976,2.95506684657945,3.07842919641359,3.20299679428017,2.68614227444983,2.25758199307843,2.6241355897575,2.75856724381183,2.67679078706982,2.47358150240112
"107325854",1.01005582743263,0.877194303337473,1.58622181950548,1.15211767083367,1.02977879555569,0.948315276485407,0.400966775159222,1.21621060561266,1.90646689463105,2.74967809421674,1.92550785054757,1.15645645655802,1.39651247764768,1.87447759675789,0.442103058766898
"107325841",2.93062135993822,2.80880726664194,3.03247838662505,2.70763639366234,2.95684524113842,3.70005834494393,2.52171939261833,2.58436222052647,2.84716776720265,3.3444214528139,3.64023856569675,2.63350396026501,3.88094810008437,3.25163169360154,3.19384421777455
"107317465",4.35667694351377,4.3511194672452,4.29219964385041,4.30616994353507,4.45840292045215,4.3902822802626,4.36253176712398,4.44726751941635,4.29092685500506,4.43112000613783,4.21395378554396,4.31114301430595,4.06348805448452,4.07438386031394,4.18119161804702
"107317468",8.38778280495069,8.20345726073059,8.29530596928583,8.15586980569478,8.38360696279028,7.81323180881497,8.15139508713049,8.4814717953424,8.24834565712393,8.2646804137718,8.24934447171913,8.27820031023482,8.22818512797108,8.24930151976706,8.33852472184226
"107310194",3.24952143986628,2.92536152453115,2.84088284746149,3.39003990552714,2.61248054586468,1.81763506058741,2.77438046649113,2.85244305448005,2.46135297648777,2.81679337624477,2.01330187800375,2.41189037244918,3.28353809852145,2.80335308433689,3.34143092449018
"107310197",5.40682698780973,5.3156201770113,5.44612240027598,5.26158688799726,5.28940169776957,5.5398085050594,5.32307746705769,5.29769145042543,5.28483468104731,5.0810672791306,5.46115426897552,5.26492519668413,5.18884728102387,5.34140036577408,5.38574058529568
"107310817",1.6909855297491,2.37181339251676,2.3375431152993,1.91507898878096,1.680326807203,2.71468515599033,1.5529706014018,1.97316837676813,1.78883390621092,2.28697298399768,2.4281453055183,1.49132364015663,2.24553683338314,2.24937263867485,1.68256666655764
"107310806",0.0100558274326266,-1.07033833848368,0.35175690309846,-0.432844829887488,-0.950045354470096,-1.33179052109541,-0.875872972201104,-1.88812555093628,-2.72774106885458,-0.642639491478598,-1.67652782407483,-0.883071565475899,-0.603487524682822,-0.782638208483203,-0.738468974713872
"107310815",0.0284618147288626,1.9551964161509,0.869156120006982,0.387797948834907,1.66138940832517,-0.0132794739510855,0.450579415319246,1.13862494658554,-1.918636807439,-0.642639491478598,-0.576992150523916,1.04854145954385,-0.531337738926987,1.08818627909099,-0.295167376107518
"107311121",6.66826731018442,6.46326950371042,6.07967735766166,6.64202643392985,6.36485253834974,6.37950771252037,6.24466400227904,6.3814687007471,6.51145964016842,6.76067693024942,6.42675998433719,6.62384203955594,6.24778101879677,6.36162783778764,6.30810939190646
"107311118",2.56415560880896,2.58173562571646,2.90814977072442,2.29094405195695,2.59884971773864,2.35804086534419,2.60359702981526,2.6312486081573,2.37846019651813,2.32259352159616,2.72231794440682,2.59565869191635,2.19857317302243,2.75850615381039,2.47358012789611
"107317789",6.4811503635955,6.55901828159593,6.50627721154245,6.61055535554196,6.82107725042817,6.54473081055423,6.47217486480911,6.81992439072036,6.55920012838674,6.71993058790611,6.7292226889218,6.76318951500305,6.24778101879677,6.69745288072019,6.64408531090951
"107317790",10.5123193616581,10.4208705537536,9.82187742462802,10.4014107263015,9.81085936438934,10.344355465815,10.7907265946243,10.5314660080975,10.768155586444,10.485446917395,12.2567281234809,10.4583237076245,10.3248030716062,10.4349001216029,10.1159319370164
"107311550",6.40971522555255,6.38087277334865,6.79859694430275,6.34493351223024,6.4451317224479,6.49294096968216,6.32379937263526,6.18762098712463,6.53513678605497,6.48222033843218,6.94185767818378,6.40950570567905,6.55948471611772,6.71965811662587,6.51388108008928
"107325406",1.44498497894921,1.22384476592078,1.47374820731202,2.00657682801832,1.43461849576523,1.45579915621519,1.86663080550653,1.53031989380533,1.92046869051395,1.85986084905059,1.75644150646637,1.43885652941146,2.30586711087718,1.56858361322018,1.54446498855763
"107325408",-0.0364465528094065,-0.55576516565392,-0.565780936709567,0.277648552917527,-0.535007855191252,-0.331790521095414,0.633140675286754,-0.0964556523163757,0.562766890153409,-0.28006941209389,1.51835169993225,-0.352556848777119,0.554054747265411,-0.161149831736932,-0.397431297565825
"107325405",6.04435421437299,6.38165989713587,6.18563745602376,6.46270933916862,6.18798754608181,6.42150309334985,6.40596896016367,6.3802190706585,6.46729204314932,6.22771935631817,6.52244426753726,6.43250083679872,7.02568150669015,6.83376986022176,6.93474284596535
"107325412",6.04085431480097,6.10101719856507,5.83794124934144,6.41036247526277,6.29893676526302,6.14394013100145,6.23023693164377,6.17473010426971,5.78136758237556,5.89208025446294,5.62594866539786,5.8387871363001,6.38082036087424,6.04732509393064,6.16601512318755
"107318748",5.57919006701988,5.52019781389916,5.31686171054513,5.5385983119203,5.51846280663697,5.39184862123305,5.52880958397169,5.5404846616557,5.53748208015163,5.46349085414113,5.30564783412656,5.5217860782481,5.27463754347181,5.42170931010875,5.30912565735343
"107318720",7.79235205188981,7.86208734923198,7.77999390013216,7.84370259108862,7.79217050038331,7.94699078187429,7.94700422197055,7.94760908138481,7.85878600748992,7.7600656337458,7.59193063132902,8.00769936476934,7.7712176012424,7.99543892105216,7.87255582259348
"107305991",1.97529040927195,2.40770895832097,2.37281851862629,2.51711448761292,1.85730956758751,1.81505086723386,2.75460418777242,2.344535205854,3.20299705706603,1.45689858656205,1.85596725675219,1.1169284345241,2.82535577412105,2.33710103579089,1.87820239504941
"107306003",-0.681821877205041,-2.29273075982013,0.512221575291707,-2.30731394780363,0.523885833862316,-0.438705725011926,-0.32838517689861,-0.1225908045733,-2.72774106885458,-0.642639491478598,-2.89892024541128,-0.883071565475899,-0.216464401573575,-1.31315292518198,-4.64535957032239
"107305990",8.54459031558374,8.4613216077088,8.20570853279103,8.31869922920161,8.3696267664769,8.07547724314932,8.50267199698384,8.29004130384817,8.38143663450069,8.16701381411576,8.31317077449737,7.9260713045623,8.69448689376535,8.05341214657487,8.48472829743335
"107305996",3.14286735951791,3.15131605864958,2.61832568070254,3.34994570889573,3.29788384633512,2.12763884918422,3.32455629073405,3.06606927021624,3.21555642362204,2.46169697661585,3.0127729341291,2.43564442987004,3.23057257454953,2.65237649931817,3.2013834752487
"107306013",0.0100558274326266,-3.87769326054128,-0.928351016094275,-2.21075521892317,-0.162256300257528,-1.27557564048084,-1.1168810717049,0.583987851082045,-4.31270356957574,-1.12806631864884,0.191346053517291,-1.73106847203085,0.740466876534539,-1.26442693268643,-1.05380700507674
"107324015",2.68023217174007,2.49734617080564,2.89365068192773,2.74676156693561,2.43972538619832,3.21547127044052,2.77830578621773,2.62705282572988,2.70595730770416,3.09946837913399,4.38545404676631,2.5763600531614,2.80110683059037,2.77430991606836,2.77249294456351
"107323796",2.09401217770704,1.97070016567531,2.2133410106244,2.12331032313856,2.054052552745,2.19281051797503,2.02532539620253,1.46393612459683,2.05150837737231,2.12780297222504,1.94844200291515,2.09639423741922,2.01920199665066,2.22811133858832,2.1961868307468
"107323795",8.16143243624488,8.16657106507268,8.1859713850531,7.9724204312123,8.03398061004384,8.28898961806077,8.05575554096644,8.05310990173526,7.92158098364463,8.13560663896634,7.94951491337809,8.12492745236641,7.95794436698788,7.96967295543134,8.03225877964948
"107324077",2.09347183562026,1.95519675362346,1.99221451641132,2.41150429965232,2.38782428428629,1.64221427037164,2.45711031119525,2.29774099437506,2.31665305050387,1.83540780532605,1.62464171064573,2.13682799196181,2.20386739737478,2.33710103579089,2.63076483495185
"107314788",2.6945540017047,2.78052298357243,2.79307101886523,3.1557584282909,3.07314683623011,2.565912746757,2.8693946485102,3.02196677295673,3.39924857691123,2.85378511717622,2.91699725926011,3.28388478456855,2.92168189119608,3.2606344999825,2.82766965171563
"107325121",1.74702142159883,2.54857149416082,2.33038325230589,2.44757355435984,1.98855410086576,2.61574205901045,2.47896974515899,2.37490885489752,2.2571514571212,1.87193368135116,2.63505625076938,1.80498442820936,2.42399321173928,2.4357853106503,2.35464042967761
"107325120",5.11559024160498,5.2017912566136,5.09718502515403,5.20838641605228,5.51120669979157,5.10402854031993,5.27699717699551,5.30958201736208,5.25335008793698,5.08916362192913,5.25926864798007,5.02915114353556,4.96051535740269,5.05862855837647,5.54322927538496
"107325122",4.85375259655395,5.20711512726308,5.18613499892261,5.7819158196209,6.58306803307401,4.91342260765114,5.49648984420201,5.59569022632798,5.69712504779237,4.84921360485108,5.48334351270356,5.18301762498187,5.22234897265524,5.12610081151768,6.11369636883778
"107325128",2.1568972157619,6.18704950420897,3.31957649734931,4.54651540405348,5.77333117494816,6.93700208486949,2.85831553729453,3.12086323229098,6.21965235571311,3.17936220654341,5.13993657317342,5.09901948818187,3.92007443137419,2.52814932879896,5.1076197749725
"107325127",-1.21233659390382,1.67689559113635,0.17118465745664,0.500040974253975,0.63491714625106,3.48290637630336,0.178574811821273,-1.04012864438133,1.61803376798715,-0.28006941209389,-1.02012429108216,0.596940732428453,0.650269067562961,-0.395615085373956,1.0310883892285
"107306317",2.34293422188053,2.2801602017719,2.13712380615744,2.81646038603381,2.1764863172627,1.86535594908192,2.44383388276958,2.90473102045096,2.58211273891294,2.86107268871939,2.71578999170186,2.26532244388137,2.1653060534421,2.07457617257481,2.3968487411721
"107306324",5.45851632824892,5.55066691216301,4.66943552498446,5.4978925076754,5.49657848786658,4.47924005910559,5.74223011936053,5.6741168732848,5.56841039109936,4.49837281804848,5.39109860152134,4.7893537764956,5.47250578962082,4.3780089793711,5.61555996334051
"107306321",2.43791736706905,1.40770895832097,1.6218460664662,1.78014889344671,1.94611883454536,1.35270765317666,2.3425505469324,2.50419187184248,2.19509107062296,1.30489308862727,1.62464171064573,0.804984428209361,2.41031827484221,1.44765941093859,1.79758392552634
"107306325",7.37471163081931,7.48260516607676,6.43547085949989,7.53765329282849,7.46733837242114,6.30897086225644,7.69135184715892,7.58963271550761,7.38990203253451,6.50855830189481,7.60589874222156,6.48906797536523,7.52935819276057,6.671107282641,7.4790848896862
